Level	Rule Name	Subject	Property	Value
ERROR	duplicate_label	existence starts and ends during	label	existence starts and ends during
ERROR	duplicate_label	existence starts and ends during	label	existence starts and ends during
ERROR	duplicate_label	cell part	label	cell part@en
ERROR	duplicate_label	obsolete cell part	label	cell part@en
ERROR	multiple_definitions	independent continuant	textual definition	A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.@en
ERROR	multiple_definitions	independent continuant	textual definition	<b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])@en>
ERROR	multiple_definitions	process	textual definition	An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t.@en
ERROR	multiple_definitions	process	textual definition	<p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])@en>
ERROR	multiple_definitions	specifically dependent continuant	textual definition	A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.@en
ERROR	multiple_definitions	specifically dependent continuant	textual definition	<b is a relational specifically dependent continuant = Def. b is a specifically dependent continuant and there are n &gt; 1 independent continuants c1, … cn which are not spatial regions are such that for all 1 i &lt; j n, ci and cj share no common parts, are such that for each 1 i n, b s-depends_on ci at every time t during the course of b’s existence (axiom label in BFO2 Reference: [131-004])@en>
ERROR	multiple_definitions	specifically dependent continuant	textual definition	<b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003])@en>
ERROR	multiple_definitions	generically dependent continuant	textual definition	A continuant that is dependent on one or other independent continuant bearers. For every instance of A requires some instance of (an independent continuant type) B but which instance of B serves can change from time to time.@en
ERROR	multiple_definitions	generically dependent continuant	textual definition	<b is a generically dependent continuant = Def. b is a continuant that g-depends_on one or more other entities. (axiom label in BFO2 Reference: [074-001])@en>
ERROR	multiple_definitions	has_part	textual definition	<Q1 has_part Q2 if and only if: every instance of Q1 is a quality_of an entity that has_quality some Q2.>
ERROR	multiple_definitions	has_part	textual definition	a core relation that holds between a whole and its part@en
ERROR	multiple_definitions	preceded_by	textual definition	<The assertion P preceded_by P1 tells us something about Ps in general: that is, it tells us something about what happened earlier, given what we know about what happened later. Thus it does not provide information pointing in the opposite direction, concerning instances of P1 in general; that is, that each is such as to be succeeded by some instance of P.>
ERROR	multiple_definitions	preceded_by	textual definition	<X preceded_by Y iff: end(Y) before_or_simultaneous_with start(X)>
ERROR	multiple_definitions	preceded_by	textual definition	<x is preceded by y if and only if the time point at which y ends is before or equivalent to the time point at which x starts. Formally: x preceded by y iff ω(y) <= α(x), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.@en>
ERROR	multiple_definitions	food component	textual definition	A physiological role played by any substance that is distributed in foodstuffs. It includes materials derived from plants or animals, such as vitamins or minerals, as well as environmental contaminants.
ERROR	multiple_definitions	food component	textual definition	Any substance that is distributed in foodstuffs. It includes materials derived from plants or animals, such as vitamins or minerals, as well as environmental contaminants.
ERROR	multiple_definitions	sequentially hermaphroditic	textual definition	Sequential hermaphroditism occurs when the individual changes sex at some point in its life.
ERROR	multiple_definitions	sequentially hermaphroditic	textual definition	a reproductive quality inhering in the bearer by virtue of the bearer changing sex at some point in its life
ERROR	multiple_definitions	data item	textual definition	An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.@en
ERROR	multiple_definitions	data item	textual definition	a data item is an information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.@en
ERROR	multiple_definitions	textual definition	textual definition	The official OBI definition, explaining the meaning of a class or property. Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions.@en
ERROR	multiple_definitions	textual definition	textual definition	The official definition, explaining the meaning of a class or property. Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions.@en
ERROR	multiple_definitions	definition source	textual definition	<Formal citation, e.g. identifier in external database to indicate / attribute source(s) for the definition. Free text indicate / attribute source(s) for the definition. EXAMPLE: Author Name, URI, MeSH Term C04, PUBMED ID, Wiki uri on 31.01.2007@en>
ERROR	multiple_definitions	definition source	textual definition	<formal citation, e.g. identifier in external database to indicate / attribute source(s) for the definition. Free text indicate / attribute source(s) for the definition. EXAMPLE: Author Name, URI, MeSH Term C04, PUBMED ID, Wiki uri on 31.01.2007@en>
ERROR	multiple_definitions	agonistic alarm	textual definition	Alarm behavior triggered by agonistic actions or postures@en
ERROR	multiple_definitions	agonistic alarm	textual definition	Alarm behavior triggered by agonistic actions or postures.@en
ERROR	multiple_definitions	species as a collection of organisms	textual definition	A collection of organisms that has as members every organism of given species and no organisms of any other species.@en
ERROR	multiple_definitions	species as a collection of organisms	textual definition	A collection of organisms that has as parts every organism of a species and no organisms of any other species.@en
ERROR	multiple_definitions	overlaps	textual definition	A overlaps B if they share some part in common.
ERROR	multiple_definitions	overlaps	textual definition	x overlaps y if and only if there exists some z such that x has part z and z part of y
ERROR	multiple_definitions	connected to	textual definition	<Binary relationship: x connected_to y if and only if there exists some z such that z connects x and y in a ternary connected_to(x,y,z) relationship.>
ERROR	multiple_definitions	connected to	textual definition	a is connected to b if and only if a and b are discrete structure, and there exists some connecting structure c, such that c connects a and b
ERROR	multiple_definitions	connects	textual definition	<Binary relationship: z connects x if and only if there exists some y such that z connects x and y in a ternary connected_to(x,y,z) relationship.>
ERROR	multiple_definitions	connects	textual definition	c connects a if and only if there exist some b such that a and b are similar parts of the same system, and c connects b, specifically, c connects a with b. When one structure connects two others it unites some aspect of the function or role they play within the system.
ERROR	multiple_definitions	regulates	textual definition	<process(P1) regulates process(P2) iff: P1 results in the initiation or termination of P2 OR affects the frequency of its initiation or termination OR affects the magnitude or rate of output of P2.>
ERROR	multiple_definitions	regulates	textual definition	<process(P1) regulates process(P2) iff: P1 results in the initiation or termination of P2 OR affects the frequency of its initiation or termination OR affects the magnitude or rate of output of P2.>
ERROR	multiple_definitions	surrounded by	textual definition	x surrounded_by y if and only if (1) x is adjacent to y and for every region r that is adjacent to x, r overlaps y (2) the shared boundary between x and y occupies the majority of the outermost boundary of x
ERROR	multiple_definitions	surrounded by	textual definition	<x surrounded_by y iff: x is adjacent to y and for every region r adjacent to x, r overlaps y>
ERROR	multiple_definitions	adjacent_to	textual definition	x adjacent to y if and only if x and y share a boundary.
ERROR	multiple_definitions	adjacent_to	textual definition	<x adjacent_to y iff: x and y share a boundary>
ERROR	multiple_definitions	surrounds	textual definition	inverse of surrounded by
ERROR	multiple_definitions	surrounds	textual definition	inverse of surrounded_by
ERROR	multiple_definitions	starts	textual definition	Relation between occurrents, shares a start boundary with.
ERROR	multiple_definitions	starts	textual definition	inverse of starts with
ERROR	multiple_definitions	ends	textual definition	Relation between occurrents, shares an end boundary with.
ERROR	multiple_definitions	ends	textual definition	inverse of ends with
ERROR	multiple_definitions	developmentally_induced_by	textual definition	<t1 developmentally_induced_by t2 if there is a process of organ induction (GO:0001759) with t1 and t2 as interacting participants. t2 causes t1 to change its fate from a precursor tissue type T to T', where T' develops_from T.>
ERROR	multiple_definitions	developmentally_induced_by	textual definition	<t1 induced_by t2 if there is a process of developmental induction (GO:0031128) with t1 and t2 as interacting participants. t2 causes t1 to change its fate from a precursor anatomical structure type T to T', where T' develops_from T>
ERROR	multiple_definitions	developmentally preceded by	textual definition	<Candidate definition: x developmentally related to y if and only if there exists some developmental process (GO:0032502) p such that x and y both participates in p, and x is the output of p and y is the input of p>
ERROR	multiple_definitions	developmentally preceded by	textual definition	<X developmentally related to y if and only if there exists some developmental process (GO:0032502) p such that x and y both participates in p, and x is the output of p and y is the input of p.>
ERROR	multiple_definitions	has potential to developmentally contribute to	textual definition	x has potential to developmentrally contribute to y iff x developmentally contributes to y or x is capable of developmentally contributing to y
ERROR	multiple_definitions	has potential to developmentally contribute to	textual definition	x has potential to developmentrally contribute to y iff x developmentally contributes to y or x is capable of developmentally contributing to y@en
ERROR	multiple_definitions	has potential to develop into	textual definition	x has the potential to develop into y iff x develops into y or if x is capable of developing into y
ERROR	multiple_definitions	has potential to develop into	textual definition	x has the potential to develop into y iff x develops into y or if x is capable of developing into y@en
ERROR	multiple_definitions	has potential to directly develop into	textual definition	x has potential to directly develop into y iff x directly develops into y or x is capable of directly developing into y
ERROR	multiple_definitions	has potential to directly develop into	textual definition	x has potential to directly develop into y iff x directly develops into y or x is capable of directly developing into y@en
ERROR	multiple_definitions	directly regulates activity of	textual definition	Holds between molecular entities A and B where A can physically interact with B and in doing so regulates a process that B is capable of.  For example, A and B may be gene products and binding of B by A regulates the kinase activity of B.
ERROR	multiple_definitions	directly regulates activity of	textual definition	"The entity A, immediately upstream of the entity B, has an activity that regulates an activity performed by B. For example, A and B may be gene products and binding of B by A regulates the kinase activity of B.

A and B can be physically interacting but not necessarily. Immediately upstream means there are no intermediate entity between A and B."
ERROR	multiple_definitions	directly negatively regulates activity of	textual definition	Holds between molecular entities A and B where A can physically interact with B and in doing so negatively regulates a process that B is capable of.  For example, A and B may be gene products and binding of B by A negatively regulates the kinase activity of B.
ERROR	multiple_definitions	directly negatively regulates activity of	textual definition	"The entity A, immediately upstream of the entity B, has an activity that negatively regulates an activity performed by B. 
For example, A and B may be gene products and binding of B by A negatively regulates the kinase activity of B."
ERROR	multiple_definitions	directly positively regulates activity of	textual definition	Holds between molecular entities A and B where A can physically interact with B and in doing so positively regulates a process that B is capable of.  For example, A and B may be gene products and binding of B by A positively regulates the kinase activity of B.
ERROR	multiple_definitions	directly positively regulates activity of	textual definition	"The entity A, immediately upstream of the entity B, has an activity that positively regulates an activity performed by B. 
For example, A and B may be gene products and binding of B by A positively regulates the kinase activity of B."
ERROR	multiple_definitions	composed primarily of	textual definition	x composed_primarily_of y if and only if more than half of the mass of x is made from y or units of the same type as y.
ERROR	multiple_definitions	composed primarily of	textual definition	<x composed_primarily_of y iff: more than half of the mass of x is made from parts of y>
ERROR	multiple_definitions	existence starts during	textual definition	Relation between continuant c and occurrent s, such that every instance of c comes into existing during some s.
ERROR	multiple_definitions	existence starts during	textual definition	<x existence starts during y if and only if the time point at which x starts is after or equivalent to the time point at which y starts and before or equivalent to the time point at which y ends. Formally: x existence starts during y iff α(x) >= α(y) & α(x) <= ω(y).>
ERROR	multiple_definitions	existence starts with	textual definition	Relation between continuant and occurrent, such that c comes into existence at the start of p.
ERROR	multiple_definitions	existence starts with	textual definition	<x starts ends with y if and only if the time point at which x starts is equivalent to the time point at which y starts. Formally: x existence starts with y iff α(x) = α(y).>
ERROR	multiple_definitions	existence ends during	textual definition	Relation between continuant c and occurrent s, such that every instance of c ceases to exist during some s, if it does not die prematurely.
ERROR	multiple_definitions	existence ends during	textual definition	<x existence ends during y if and only if the time point at which x ends is before or equivalent to the time point at which y ends and after or equivalent to the point at which y starts. Formally: x existence ends during y iff ω(x) <= ω(y) and ω(x) >= α(y).>
ERROR	multiple_definitions	existence ends with	textual definition	Relation between continuant and occurrent, such that c ceases to exist at the end of p.
ERROR	multiple_definitions	existence ends with	textual definition	<x existence ends with y if and only if the time point at which x ends is equivalent to the time point at which y ends. Formally: x existence ends with y iff ω(x) = ω(y).>
ERROR	multiple_definitions	has skeleton	textual definition	A relation between a segment or subdivision of an organism and the maximal subdivision of material entities that provides structural support for that segment or subdivision.
ERROR	multiple_definitions	has skeleton	textual definition	A relation between a subdivision of an organism and the single subdivision of skeleton that provides structural support for that subdivision.
ERROR	multiple_definitions	causally influences	textual definition	Holds between materal entities a and b if the activity of a is causally upstream of the activity of b, or causally upstream of a an activity that modifies b
ERROR	multiple_definitions	causally influences	textual definition	The entity or characteristic A is causally upstream of the entity or characteristic B, A having an effect on B. An entity corresponds to any biological type of entity as long as a mass is measurable. A characteristic corresponds to a particular specificity of an entity (e.g., phenotype, shape, size).
ERROR	multiple_definitions	mesenchyme	textual definition	Portion of tissue composed of mesenchymal cells (motile cells that develop from epthelia via an epithelial to mesenchymal transition) and surrounding extracellular material. Mesenchyme has different embryological origins in different metazoan taxa - in many invertebrates it derives in whole or part from ectoderm. In vertebrates it derives largely from mesoderm, and sometimes the terms are used interchangeably, e.g. lateral plate mesoderm/mesenchyme.
ERROR	multiple_definitions	mesenchyme	textual definition	Portion of tissue consisting of loosely organized undifferentiated mesodermal cells that give rise to such structures as connective tissues, blood, lymphatics, bone, and cartilage[XAO]. A mesh-like cell arrangement, less compact than an epithelium[ZFA]. The part of the embryonic mesoderm, consisting of loosely packed, unspecialized cells set in a gelatinous ground substance, from which connective tissue, bone, cartilage, and the circulatory and lymphatic systems develop[BTO].
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/ecocore.owl	dc:license	
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/ecocore.owl	dc11:title	
ERROR	multiple_labels	fiat object part	label	fiat object@en
ERROR	multiple_labels	fiat object part	label	fiat object part@en
ERROR	multiple_labels	part_of	label	part of
ERROR	multiple_labels	part_of	label	part of@en
ERROR	multiple_labels	part_of	label	part_of
ERROR	multiple_labels	has_part	label	has part
ERROR	multiple_labels	has_part	label	has part@en
ERROR	multiple_labels	has_part	label	has_part
ERROR	multiple_labels	preceded_by	label	preceded by@en
ERROR	multiple_labels	preceded_by	label	preceded_by
ERROR	multiple_labels	precedes	label	precedes
ERROR	multiple_labels	precedes	label	precedes@en
ERROR	multiple_labels	occurs in	label	occurs in
ERROR	multiple_labels	occurs in	label	occurs in@en
ERROR	multiple_labels	contains process	label	contains process
ERROR	multiple_labels	contains process	label	contains process@en
ERROR	multiple_labels	secondary consumer	label	A predator that eats primary consumers or herbivores
ERROR	multiple_labels	secondary consumer	label	secondary consumer
ERROR	multiple_labels	nucleus	label	nucleus
ERROR	multiple_labels	nucleus	label	nucleus@en
ERROR	multiple_labels	editor preferred label	label	editor preferred label
ERROR	multiple_labels	editor preferred label	label	editor preferred label@en
ERROR	multiple_labels	editor preferred label	label	editor preferred term
ERROR	multiple_labels	editor preferred label	label	editor preferred term@en
ERROR	multiple_labels	editor preferred label	label	editor preferred term~editor preferred label
ERROR	multiple_labels	example of usage	label	example of usage
ERROR	multiple_labels	example of usage	label	example of usage@en
ERROR	multiple_labels	has curation status	label	has curation status
ERROR	multiple_labels	has curation status	label	has curation status@en
ERROR	multiple_labels	textual definition	label	definition
ERROR	multiple_labels	textual definition	label	definition@en
ERROR	multiple_labels	textual definition	label	textual definition
ERROR	multiple_labels	editor note	label	editor note
ERROR	multiple_labels	editor note	label	editor note@en
ERROR	multiple_labels	term editor	label	term editor
ERROR	multiple_labels	term editor	label	term editor@en
ERROR	multiple_labels	alternative term	label	alternative term
ERROR	multiple_labels	alternative term	label	alternative term@en
ERROR	multiple_labels	definition source	label	definition source
ERROR	multiple_labels	definition source	label	definition source@en
ERROR	multiple_labels	has axiom label	label	has axiom label
ERROR	multiple_labels	has axiom label	label	has axiom label@en
ERROR	multiple_labels	Theria <mammals>	label	Theria <Mammalia>
ERROR	multiple_labels	Theria <mammals>	label	Theria <mammals>
ERROR	multiple_labels	Vertebrata <Metazoa>	label	Vertebrata <Metazoa>
ERROR	multiple_labels	Vertebrata <Metazoa>	label	Vertebrata <vertebrates>
ERROR	multiple_labels	Gnathostomata <vertebrate>	label	Gnathostomata <vertebrate>
ERROR	multiple_labels	Gnathostomata <vertebrate>	label	Gnathostomata <vertebrates>
ERROR	multiple_labels	Craniata <chordata>	label	Craniata <chordata>
ERROR	multiple_labels	Craniata <chordata>	label	Craniata <chordates>
ERROR	multiple_labels	bearer of	label	bearer of
ERROR	multiple_labels	bearer of	label	bearer of@en
ERROR	multiple_labels	participates in	label	participates in@en
ERROR	multiple_labels	participates in	label	participates_in
ERROR	multiple_labels	has participant	label	has participant@en
ERROR	multiple_labels	has participant	label	has_participant
ERROR	multiple_labels	location_of	label	location of@en
ERROR	multiple_labels	location_of	label	location_of
ERROR	multiple_labels	contains	label	contains
ERROR	multiple_labels	contains	label	contains@en
ERROR	multiple_labels	located in	label	located in@en
ERROR	multiple_labels	located in	label	located_in
ERROR	multiple_labels	temporal interpretation	label	temporal interpretation
ERROR	multiple_labels	temporal interpretation	label	temporal interpretation@en
ERROR	multiple_labels	boundary of	label	2D boundary of@en
ERROR	multiple_labels	boundary of	label	boundary of
ERROR	multiple_labels	has 2D boundary	label	has 2D boundary@en
ERROR	multiple_labels	has 2D boundary	label	has boundary
ERROR	multiple_labels	bounding layer of	label	bounding layer of
ERROR	multiple_labels	bounding layer of	label	bounding layer of@en
ERROR	multiple_labels	immediately preceded by	label	immediately preceded by@en
ERROR	multiple_labels	immediately preceded by	label	immediately_preceded_by
ERROR	multiple_labels	overlaps	label	overlaps
ERROR	multiple_labels	overlaps	label	overlaps@en
ERROR	multiple_labels	continuous_with	label	continuous with@en
ERROR	multiple_labels	continuous_with	label	continuous_with
ERROR	multiple_labels	only_in_taxon	label	only in taxon
ERROR	multiple_labels	only_in_taxon	label	only_in_taxon
ERROR	multiple_labels	connected to	label	connected to
ERROR	multiple_labels	connected to	label	connected to@en
ERROR	multiple_labels	connects	label	connects
ERROR	multiple_labels	connects	label	connects@en
ERROR	multiple_labels	attached to part of	label	attached to part of@en
ERROR	multiple_labels	attached to part of	label	attaches_to_part_of
ERROR	multiple_labels	drains	label	drains
ERROR	multiple_labels	drains	label	drains@en
ERROR	multiple_labels	has component	label	has component
ERROR	multiple_labels	has component	label	has component@en
ERROR	multiple_labels	develops from	label	develops from@en
ERROR	multiple_labels	develops from	label	develops_from
ERROR	multiple_labels	develops_into	label	develops into@en
ERROR	multiple_labels	develops_into	label	develops_into
ERROR	multiple_labels	directly_develops_from	label	directly develops from@en
ERROR	multiple_labels	directly_develops_from	label	directly_develops_from
ERROR	multiple_labels	regulates	label	regulates
ERROR	multiple_labels	regulates	label	regulates@en
ERROR	multiple_labels	negatively regulates	label	negatively regulates
ERROR	multiple_labels	negatively regulates	label	negatively regulates@en
ERROR	multiple_labels	positively regulates	label	positively regulates
ERROR	multiple_labels	positively regulates	label	positively regulates@en
ERROR	multiple_labels	capable of	label	capable of
ERROR	multiple_labels	capable of	label	capable of@en
ERROR	multiple_labels	capable of part of	label	capable of part of
ERROR	multiple_labels	capable of part of	label	capable of part of@en
ERROR	multiple_labels	surrounded by	label	surrounded by
ERROR	multiple_labels	surrounded by	label	surrounded by@en
ERROR	multiple_labels	surrounded by	label	surrounded_by
ERROR	multiple_labels	adjacent_to	label	adjacent to@en
ERROR	multiple_labels	adjacent_to	label	adjacent_to
ERROR	multiple_labels	surrounds	label	surrounds
ERROR	multiple_labels	surrounds	label	surrounds@en
ERROR	multiple_labels	starts	label	starts
ERROR	multiple_labels	starts	label	starts@en
ERROR	multiple_labels	starts with	label	starts with
ERROR	multiple_labels	starts with	label	starts with@en
ERROR	multiple_labels	develops from part of	label	develops from part of@en
ERROR	multiple_labels	develops from part of	label	develops_from_part_of
ERROR	multiple_labels	develops_in	label	develops in@en
ERROR	multiple_labels	develops_in	label	develops_in
ERROR	multiple_labels	ends	label	ends
ERROR	multiple_labels	ends	label	ends@en
ERROR	multiple_labels	ends with	label	ends with
ERROR	multiple_labels	ends with	label	ends with@en
ERROR	multiple_labels	has developmental contribution from	label	has developmental contribution from
ERROR	multiple_labels	has developmental contribution from	label	has developmental contribution from@en
ERROR	multiple_labels	developmentally contributes to	label	developmentally contributes to@en
ERROR	multiple_labels	developmentally contributes to	label	developmentally_contributes_to
ERROR	multiple_labels	developmentally_induced_by	label	developmentally induced by@en
ERROR	multiple_labels	developmentally_induced_by	label	developmentally_induced_by
ERROR	multiple_labels	developmentally preceded by	label	developmentally preceded by
ERROR	multiple_labels	developmentally preceded by	label	developmentally preceded by@en
ERROR	multiple_labels	developmentally preceded by	label	developmentally_preceded_by
ERROR	multiple_labels	developmentally_replaces	label	developmentally replaces@en
ERROR	multiple_labels	developmentally_replaces	label	developmentally_replaces
ERROR	multiple_labels	has habitat	label	has habitat
ERROR	multiple_labels	has habitat	label	has habitat@en
ERROR	multiple_labels	functionally related to	label	functionally related to
ERROR	multiple_labels	functionally related to	label	functionally related to@en
ERROR	multiple_labels	part of structure that is capable of	label	part of structure that is capable of
ERROR	multiple_labels	part of structure that is capable of	label	part of structure that is capable of@en
ERROR	multiple_labels	member of	label	member of
ERROR	multiple_labels	member of	label	member of@en
ERROR	multiple_labels	has member	label	has member
ERROR	multiple_labels	has member	label	has member@en
ERROR	multiple_labels	input of	label	input of
ERROR	multiple_labels	input of	label	input of@en
ERROR	multiple_labels	attaches_to	label	attached to@en
ERROR	multiple_labels	attaches_to	label	attaches_to
ERROR	multiple_labels	tributary_of	label	tributary of@en
ERROR	multiple_labels	tributary_of	label	tributary_of
ERROR	multiple_labels	branching_part_of	label	branching part of@en
ERROR	multiple_labels	branching_part_of	label	branching_part_of
ERROR	multiple_labels	has potential to developmentally contribute to	label	has potential to developmentally contribute to
ERROR	multiple_labels	has potential to developmentally contribute to	label	has potential to developmentally contribute to@en
ERROR	multiple_labels	has potential to develop into	label	has potential to develop into
ERROR	multiple_labels	has potential to develop into	label	has potential to develop into@en
ERROR	multiple_labels	has potential to directly develop into	label	has potential to directly develop into
ERROR	multiple_labels	has potential to directly develop into	label	has potential to directly develop into@en
ERROR	multiple_labels	directly regulates activity of	label	activity directly regulates activity of
ERROR	multiple_labels	directly regulates activity of	label	directly regulates activity of
ERROR	multiple_labels	directly negatively regulates activity of	label	activity directly negatively regulates activity of
ERROR	multiple_labels	directly negatively regulates activity of	label	directly negatively regulates activity of
ERROR	multiple_labels	directly positively regulates activity of	label	activity directly positively regulates activity of
ERROR	multiple_labels	directly positively regulates activity of	label	directly positively regulates activity of
ERROR	multiple_labels	causal relation between material entities	label	causal relation between entities
ERROR	multiple_labels	causal relation between material entities	label	causal relation between material entities
ERROR	multiple_labels	produces	label	produces
ERROR	multiple_labels	produces	label	produces@en
ERROR	multiple_labels	produced_by	label	produced by@en
ERROR	multiple_labels	produced_by	label	produced_by
WARN	annotation_whitespace	continuant	IAO:0000602	<(forall (x y) (if (and (Continuant x) (exists (t) (continuantPartOfAt y x t))) (Continuant y))) // axiom label in BFO2 CLIF: [009-002] >
WARN	annotation_whitespace	continuant	IAO:0000602	<(forall (x y) (if (and (Continuant x) (exists (t) (hasContinuantPartOfAt y x t))) (Continuant y))) // axiom label in BFO2 CLIF: [126-001] >
WARN	annotation_whitespace	continuant	IAO:0000602	<(forall (x) (if (Continuant x) (Entity x))) // axiom label in BFO2 CLIF: [008-002] >
WARN	annotation_whitespace	continuant	IAO:0000602	<(forall (x) (if (Material Entity x) (exists (t) (and (TemporalRegion t) (existsAt x t))))) // axiom label in BFO2 CLIF: [011-002] >
WARN	annotation_whitespace	occurrent	IAO:0000602	<(forall (x) (if (Occurrent x) (exists (r) (and (SpatioTemporalRegion r) (occupiesSpatioTemporalRegion x r))))) // axiom label in BFO2 CLIF: [108-001] >
WARN	annotation_whitespace	occurrent	IAO:0000602	<(forall (x) (iff (Occurrent x) (and (Entity x) (exists (y) (temporalPartOf y x))))) // axiom label in BFO2 CLIF: [079-001] >
WARN	annotation_whitespace	independent continuant	IAO:0000602	<(forall (x t) (if (IndependentContinuant x) (exists (r) (and (SpatialRegion r) (locatedInAt x r t))))) // axiom label in BFO2 CLIF: [134-001] >
WARN	annotation_whitespace	independent continuant	IAO:0000602	<(forall (x t) (if (and (IndependentContinuant x) (existsAt x t)) (exists (y) (and (Entity y) (specificallyDependsOnAt y x t))))) // axiom label in BFO2 CLIF: [018-002] >
WARN	annotation_whitespace	independent continuant	IAO:0000602	<(iff (IndependentContinuant a) (and (Continuant a) (not (exists (b t) (specificallyDependsOnAt a b t))))) // axiom label in BFO2 CLIF: [017-002] >
WARN	annotation_whitespace	process	IAO:0000602	<(iff (Process a) (and (Occurrent a) (exists (b) (properTemporalPartOf b a)) (exists (c t) (and (MaterialEntity c) (specificallyDependsOnAt a c t))))) // axiom label in BFO2 CLIF: [083-003] >
WARN	annotation_whitespace	disposition	IAO:0000602	<(forall (x t) (if (and (RealizableEntity x) (existsAt x t)) (exists (y) (and (MaterialEntity y) (specificallyDepends x y t))))) // axiom label in BFO2 CLIF: [063-002] >
WARN	annotation_whitespace	disposition	IAO:0000602	<(forall (x) (if (Disposition x) (and (RealizableEntity x) (exists (y) (and (MaterialEntity y) (bearerOfAt x y t)))))) // axiom label in BFO2 CLIF: [062-002] >
WARN	annotation_whitespace	realizable entity	IAO:0000602	<(forall (x t) (if (RealizableEntity x) (exists (y) (and (IndependentContinuant y) (not (SpatialRegion y)) (bearerOfAt y x t))))) // axiom label in BFO2 CLIF: [060-002] >
WARN	annotation_whitespace	realizable entity	IAO:0000602	<(forall (x) (if (RealizableEntity x) (and (SpecificallyDependentContinuant x) (exists (y) (and (IndependentContinuant y) (not (SpatialRegion y)) (inheresIn x y)))))) // axiom label in BFO2 CLIF: [058-002] >
WARN	annotation_whitespace	specifically dependent continuant	IAO:0000602	<(iff (SpecificallyDependentContinuant a) (and (Continuant a) (forall (t) (if (existsAt a t) (exists (b) (and (IndependentContinuant b) (not (SpatialRegion b)) (specificallyDependsOnAt a b t))))))) // axiom label in BFO2 CLIF: [050-003] >
WARN	annotation_whitespace	object aggregate	editor note	An entity a is an object aggregate if and only if there is a mutually exhaustive and pairwise disjoint partition of a into objects 
